_question,_answer,Tags
ボットを "構築" するとどうなりますか?,ボットを構築すると、機械学習がトリガーされ、お客様のボット用のモデルが作成されます。新しいバージョンのインテントやスロットタイプが作成されます。一度作成されたバージョンは変わりません。,Lex
Amazon Lex ボットのテストはどのようにすればよいですか?,Amazon Lex ボットは、コンソールのテストウィンドウからテストできます。AWS Lambda に実装されたビジネスロジックもこのコンソールでテストできます。Amazon Lex ボットでのテキストのテストはサポートされているすべてのブラウザで実行でき、音声は Chrome ブラウザでテストできます。,Lex
モバイル向けの Amazon Lex ボットはどうすれば作成できますか?,Amazon Lex では SDK for iOS および SDK for Android が利用できます。この SDK を使用すれば、モバイルユースケース用のボットを開発できます。ユーザー認証は、Amazon Cognito 経由で有効にできます。,Lex
メッセージングサービスで Amazon Lex ボットを利用できるようにするにはどうすればよいですか?,Amazon Lex ボットは、Facebook Messenger、Slack、Kik、Twilio SMS などのメッセージングプラットフォームにパブリッシュできます。ボットを公開するために、コンソールで認証用のトークンを提供できます。トークンは安全に保存され、お客様がチャットサービスに提供できるコールバック URL が発行されます。,Lex
ボットをデプロイ前に送信して認定を受ける必要がありますか?,デプロイ前に Amazon でボットの認定を受ける必要はありません。,Lex
エンドユーザーの使用向けにデプロイした Amazon Lex ボットのバージョンを所有すると同時に、異なるバージョンの開発を続けることはできますか?,はい。異なるバージョンの開発を継続しながら、ボットのバージョンを構築して本番環境にデプロイすることができます。Amazon Lex ボットのバージョンにはすべて、ARN があります。各バージョンは異なるエイリアスに関連付けることができます。これらのツールを使用して、開発環境、ステージ環境、および本番環境を設定できます。,Lex
別のメッセージングサービスにデプロイする場合に異なるバージョンを選択できますか?,はい。メッセージングサービスごとに特定のバージョンをデプロイできます。Amazon Lex のバージョンにはすべて、ARN があります。各バージョンはエイリアスに関連付けることができます。別のメッセージングサービスにデプロイする場合は異なるエイリアスを使用できます。また、同じメッセージングサービスに複数のボットをデプロイすることもできます。,Lex
音声入力の最大継続時間はどのくらいですか?,Amazon Lex ボットは、リクエストと応答の相互作用または継続的なストリーミング会話に向けて設計されています。リクエストと応答の相互作用により、Amazon Lex では最大 15 秒の音声入力をサポートしています。ストリーミング会話では、複数のターンにわたるすべてのユーザー入力が、無音を含む最大 15 秒の音声入力 1 つのストリーミング API コールで処理されます。,Lex
音声で入力してテキストで出力するように構成できますか?,はい。PostContent API を選択して音声を入力し、テキスト出力を選択するのみです。,Lex
Amazon Lex では何カ国語がサポートされていますか?,現在、Amazon Lex では、英語 (米国)、スペイン語、フランス語、ドイツ語、イタリア語、日本語、英語 (オーストラリア)、英語 (英国)、フランス語 (カナダ)、スペイン語 (ラテンアメリカ)、およびスペイン語 (米国) がサポートされています。,Lex
Amazon Lex ではどのような音声フォーマットがサポートされていますか?,Amazon Lex でサポートされている入力音声のフォーマットは LPCM と Opus です。サポートされている出力音声のフォーマットは、MPEG、OGG、PCM です。,Lex
Amazon Lex は VPC で使用できますか?,Amazon Lex には、ボットを構築し実行するために、パブリックエンドポイント経由で VPC からアクセスできます。現在、Amazon Lex では VPC エンドポイントは利用できません。,Lex
Amazon Lex ボットにローカルで、つまりインターネットに接続せずにアクセスできますか?,いいえ。エンドユーザーは、インターネットを介して Amazon Lex ランタイムエンドポイントにアクセスする必要があります。,Lex
V2 拡張コンソールと API で提供されるユーザビリティの改善はどのようなものですか?,Lex V2 コンソールと API は、更新された情報アーキテクチャ (IA) を使用して、簡素化されたバージョン管理、ボット内の複数言語のサポート、およびストリーミング機能を提供します。 さらに改善されたものには、部分的に完了したボット構成の保存、リソースの名前変更、ナビゲーションの簡素化、発話の一括アップロード、および詳細なデバッグが含まれます。ストリーミング機能を使用するにはどうすればよいですか?ストリーミング API を使用して、Lex ボットと継続的にストリーミング会話を行うことができます。ストリーミング会話を使用して、ボットは継続的に聞き取り、ユーザーの中断や一時停止に対して積極的にに応答するように設計できます。たとえば、「時間をかけて」などの定期的なメッセージを送信することで、ユーザーが応答するのにさらに時間が必要な場合に会話を続けるようにボットを構成できます。準備ができたらお知らせください。」V2 API の詳細な料金はいくらですか?Amazon Lex ボットは、リクエストと応答の相互作用または継続的なストリーミング会話に向けて設計されています。リクエストと応答の相互作用により、各ユーザー入力 (音声またはテキスト) は個別の API 呼び出しとして処理されます。ストリーミング会話では、複数のターンにわたるすべてのユーザー入力が 1 つのストリーミング API 呼び出しで処理されます。詳細については、Amazon Lex の料金ページをご覧ください。V2 API を使用して作成されたボットを Amazon Connect の問い合わせフローと統合できますか?はい、Amazon Connect の問い合わせフローは、Lex V2 と V1 の両方の API で動作します。Lex V2 コンソールを使用して、ボットを作成し、Amazon Connect と統合することができます。既存のボットに V2 API 機能を利用できますか?,Lex
いいえ。V2 機能を利用したい場合は、V2 API を使用してボットを再作成する必要があります。Lex V1 API は互換性がありません。これは、V2 API が更新された情報アーキテクチャを使用して、リソースのバージョン管理を簡素化し、ボット内の複数の言語をサポートできるようにするためです。V2 API への変換は簡単なので、このステップバイステップの移行ガイドから始めてください。,V2 API はどのリージョンと言語をサポートしていますか?Amazon Lex V2 API と強化されたコンソール体験は、英語 (米国)、スペイン語、フランス語、ドイツ語、イタリア語、日本語、オーストラリア英語、英語 (英国)、フランス語 (カナダ)、スペイン語 (ラテンアメリカ)、スペイン語 (米国) を含む既存の 8 つのリージョンと言語すべてで利用できます。サポートされる Amazon Lex AWS リージョンのリストについては、AWS リージョン表を参照してください。ボットの簡略化されたバージョン管理や複数の言語など、新機能のサポートは既存の API で利用できますか?いいえ。これらの機能は V2 API でのみ使用できます。これらの機能を利用したい場合は、この移行ガイドに従って V2 API に移行できます。V1 コンソールにアクセスできますか?はい、AWS マネジメントコンソールで V1 コンソールにアクセスできます。Lex コンソールに入ると、V1 コンソールと V2 コンソールの間を移動できます。V1 コンソールで作成されたボットは、V1 コンソール内でのみ表示されます。V2 コンソールで V1 ボットを再作成するまで、V2 コンソールで V1 ボットにアクセスすることはできません。ボットを V2 に移行するのは簡単です。これは、ステップバイステップの移行ガイドです。V2 コンソールにアクセスするにはどうすればよいですか?左側のナビゲーションバーのリンクをクリックして、コンソールとして V1 または V2 を選択できます。Lex V1 API を引き続き使用できますか?はい。既存の Lex V1 API は引き続きサポートされます。これらを引き続き使用して、ボットの会話を構築および実行できます。,Lex
Alexa Skills Kit とはどう違いますか?,Alexa Skills Kit (ASK) は、Alexa エコシステムおよびデバイスで使用するスキルを構築するために使用されます。これにより、デベロッパーは Smart Home と Flash Briefing API、ストリーミング音声や豊富な GUI サービスなどの Alexa のすべての機能を活用できます。Amazon Lex ボットは、音声とテキストの両方に対応し、モバイルプラットフォームやメッセージングプラットフォームにまたがってデプロイできます。,Lex
Amazon Lex のインテントを呼び出すにはウェイクワードが必要ですか?,Amazon Lex ではウェイクワード機能はサポートされていません。Amazon Lex が統合されたアプリケーションでは、マイクをトリガーする (つまり押して話す) 必要があります。,Lex
Amazon Lex ボットで Alexa の音声を使用して応答できますか?,現時点では、Amazon Lex の応答に Alexa の音声は対応していません。ただし、別の 7 種類の音声から選択できます。,Lex
Amazon Lex ボットから Alexa スキルを作成できますか?,Amazon Lex を使用すると、Amazon Lex ボットスキーマを Amazon Alexa と互換性がある JSON ファイルにエクスポートできます。JSON としてダウンロードしたら、Alexa デベロッパーポータルにログインして [Interaction Model (操作モデル)] タブを開き、Alexa Skill Builder を起動して、ボットスキーマを Alexa スキルのコードエディタに貼り付けます。詳細については、Amazon Lex のドキュメントを参照してください。,Lex
Alexa スキルで使用する Amazon Lex ボットスキーマをエクスポートすると、AWS Lambda 関数もエクスポートされて、ボットスキーマに追加されますか?,ボットの定義のみがダウンロードされます。,Lex
スキーマのエクスポート機能を使用して、Amazon Lex ボットから Alexa スキルを作成しました。この Amazon Lex ボットスキーマがサポートされるのは、どの Alexa プラットフォームですか?,Alexa スキルをサポートするすべての Alexa プラットフォーム (Amazon Echo、Amazon Dot、Amazon Look、Amazon Tap、Amazon Echo Show、および Alexa 対応のサードパーティデバイス) を使用できます。,Lex
Amazon Lex で処理された音声とテキスト入力は保存されますか? また、AWS でどのように使用されますか?,Amazon Lex は、サービスの提供と保守、Amazon Lex や他の Amazon 機械学習/人工知能技術の品質の向上のためにのみ、サービスによって処理された音声とテキストの入力を保存して使用することができます。お客様のコンテンツを使用することは、関連テクノロジーの開発やトレーニングなど、Amazon Lex のサービスを継続的に改善するために必要です。AWS では、お客様のコンテンツに含まれる個人情報を使用して、お客様やお客様のエンドユーザーを製品、サービス、またはマーケティングのターゲットにすることはありません。AWS の最優先事項は、お客様からの信頼、プライバシー、およびお客様のコンテンツのセキュリティです。また、AWS では、転送中や保管時の暗号化など、お客様のコンテンツへの不正アクセスやお客様のコンテンツの公開を防ぐように設計された、高度で信頼できる技術的および物理的な規制を行っています。さらに、AWS がデータを使用する場合はお客様との契約を確実に遵守します。詳細については、https://aws.amazon.com/compliance/data-privacy-faq/ をご参照ください。AWS Organizations opt-out policy を使うことで、Amazon Lex や他の Amazon 機械学習/人工知能技術の品質の向上を目的として、お客様のコンテンツが保存されないようにオプトアウトすることができます。オプトアウトする方法の詳細については、Managing AI services opt-out policy をご参照ください。,Lex
Amazon Lex で保存された音声、テキスト入力は削除できますか?,はい。お客様のアカウントに関連付けられた音声、テキスト入力の削除リクエストについては、オプトアウトにお問い合わせください。音声とテキスト入力の削除をすると、Amazon Lex の使い心地は悪くなることがあります。オプトアウトする方法の詳細については、Managing AI services opt-out policy をご参照ください。Amazon Lex で処理および保存されたコンテンツには誰がアクセスできますか?Amazon Lex で処理されたコンテンツにアクセスできるのは承認された従業員のみです。AWS の最優先事項は、お客様からの信頼、プライバシー、およびお客様のコンテンツのセキュリティです。また、AWS では、転送中や保管時の暗号化など、お客様のコンテンツへの不正アクセスやお客様のコンテンツの公開を防ぐように設計された、高度で信頼できる技術的および物理的な規制を行っています。さらに、AWS がデータを使用する場合はお客様との契約を確実に遵守します。詳細については、https://aws.amazon.com/compliance/data-privacy-faq/ を参照してください。,Lex
Amazon Lex で処理および保存されたコンテンツの所有権は誰が保持しますか?,お客様は常に自分のコンテンツの所有権を保持します。当社は、お客様のコンテンツをお客様の同意なく使用することはありません。Amazon Lex で処理されたコンテンツが、Amazon Lex を使用している AWS リージョンの外に移動されることはありますか?Amazon Lex で処理されたすべてのコンテンツは、お客様が Amazon Lex を使用している AWS リージョン内で暗号化され、保管されます。Amazon Lex で処理されたコンテンツの一部は、Amazon Lex のカスタマーエクスペリエンスやその他の Amazon 機械学習/人工知能技術の継続的な改善と開発に関連する場合のみ、別の AWS リージョンに保存されることがあります。お客様のアカウントに関連付けられた音声、テキスト入力の削除リクエストについては、AWS サポートにお問い合わせください。AWS の最優先事項は、お客様からの信頼、プライバシー、およびお客様のコンテンツのセキュリティです。また、AWS では、転送中や保管時の暗号化など、お客様のコンテンツへの不正アクセスやお客様のコンテンツの公開を防ぐように設計された、高度で信頼できる技術的および物理的な規制を行っています。さらに、AWS がデータを使用する場合はお客様との契約を確実に遵守します。詳細については、https://aws.amazon.com/compliance/data-privacy-faq/ をご参照ください。 13 歳未満のお子様を対象としていて、児童オンラインプライバシー保護法 (COPPA) を順守する必要があるウェブサイト、プログラム、その他のアプリケーションに関連して Amazon Lex を使用することはできますか?必要な注意の提供および COPPA に基づく証明可能な親の同意の取得の義務を含む Amazon Lex サービス条件の順守を前提として、全体でまたは部分的に 13 歳未満のお子様を対象としたウェブサイト、プログラム、またはその他のアプリケーションに関連して Amazon Lex を使用することができます。Amazon Lex は、全体的または部分的に 13 歳未満のお子様を対象とし、COPPA の対象となる、Amazon Lex サービス条件に従ってお客様によって識別されるウェブサイト、プログラム、またはアプリケーションからの情報を保存または維持しません。,Lex
自分のウェブサイト、プログラム、またはアプリケーションが COPPA の対象かどうかを知るにはどうすればよいですか?,COPPA の要件についての情報、およびお客様のウェブサイト、プログラム、その他のアプリケーションが COPPA の対象かどうかを確認するためのガイダンスについては、米連邦取引委員会が提供および管理するリソースを直接参照してください。このサイトには、サービスの全体または一部が 13 歳未満の子どもを対象としているかどうかを確認する方法に関する情報も記載されています。,Lex
Amazon Lex ではどのような SDK がサポートされていますか?,Amazon Lex では、現在ランタイムサービス向け SDK がサポートされています。IoS SDK と Android SDK に加え、Java、JS、Python、CLI、.Net、Ruby、PHP、Go、CPP のテキスト入力と音声入力がサポートされています。,Lex
ビルドの構築に SDK を使用することはできますか?,SDK: Java、JavaScript、Python、CLI、NET、Ruby on Rails、PHP、Go、および CPP を使用してボットを構築できます。,Lex
Amazon Lex ではどのようなサポートが利用できますか?,お客様の AWS サポート契約に応じて、Amazon Lex では、デベロッパーサポート、ビジネスサポート、エンタープライズサポートの各プランをご用意しています。&nbsp; 公開 Amazon Lex フォーラムに質問を投稿することもできます。,Lex
Amazon Lex ではリクエスト数はどのようにカウントされますか?,Amazon Lex ボットへの入力があるたびに 1 リクエストとカウントされます。例えば、エンドユーザーが会話の一部としてボットに 5 回の入力を行った場合は、5 リクエストとして請求されます。使用量は、リクエスト単位で測定および請求されます。,Lex
Amazon Lex のコストはどれくらいですか?,AWS 無料利用枠を開始しましょう。最新の料金情報については、Amazon Lex の料金ページを参照してください。,Lex
Amazon Lex は AWS の無料利用枠で利用できますか?,はい。Amazon Lex は無料で試用できます。Amazon Lex の使用を開始した日から最初の 1 年間は、1 か月あたり最大で 10000 回のテキストリクエストと 5000 回の音声リクエストを処理することができます。,Lex
